tupleid,attribute,value
12,flight,AA-2957-DFW-CVG
12,sched_dep_time,7:55 a.m.
12,act_dep_time,8:04 a.m.
12,sched_arr_time,11:05 a.m.
12,act_arr_time,11:01 a.m.
13,src,aa
13,flight,AA-1664-MIA-ATL
13,sched_dep_time,10:15 a.m.
13,act_dep_time,10:18 a.m.
13,sched_arr_time,12:10 p.m.
13,act_arr_time,11:56 a.m.
14,src,aa
14,flight,AA-3979-CVG-ORD
14,sched_dep_time,7:30 a.m.
14,act_dep_time,8:04 a.m.
14,sched_arr_time,8:00 a.m.
14,act_arr_time,8:06 a.m.
15,src,aa
15,flight,AA-1279-DFW-PHX
15,sched_dep_time,1:00 p.m.
15,act_dep_time,2:04 p.m.
15,sched_arr_time,2:35 p.m.
15,act_arr_time,3:30 p.m.
16,src,aa
16,flight,AA-616-DFW-DTW
16,sched_dep_time,9:05 a.m.
16,act_dep_time,10:10 a.m.
16,sched_arr_time,12:35 p.m.
16,act_arr_time,1:27 p.m.
17,src,aa
17,flight,AA-4344-ORD-DTW
17,sched_dep_time,11:45 a.m.
17,act_dep_time,12:13 p.m.
17,sched_arr_time,2:00 p.m.
17,act_arr_time,2:10 p.m.
18,src,aa
18,flight,AA-2525-DFW-MIA
18,sched_dep_time,7:25 a.m.
18,act_dep_time,7:39 a.m.
18,sched_arr_time,11:10 a.m.
18,act_arr_time,11:06 a.m.
19,src,aa
19,flight,AA-404-MIA-MCO
19,sched_dep_time,6:45 a.m.
19,act_dep_time,6:57 a.m.
19,sched_arr_time,7:45 a.m.
19,act_arr_time,7:40 a.m.
20,src,aa
20,flight,AA-271-MIA-LAX
20,sched_dep_time,11:35 a.m.
20,act_dep_time,11:52 a.m.
20,sched_arr_time,2:25 p.m.
20,act_arr_time,2:27 p.m.
21,src,aa
21,flight,AA-2050-ORD-MIA
21,sched_dep_time,10:40 a.m.
21,act_dep_time,11:05 a.m.
21,sched_arr_time,2:45 p.m.
21,act_arr_time,2:46 p.m.
22,src,aa
22,flight,AA-4330-CVG-ORD
22,sched_dep_time,3:35 p.m.
22,act_dep_time,3:36 p.m.
22,sched_arr_time,4:00 p.m.
22,act_arr_time,3:33 p.m.
23,src,aa
23,flight,AA-1434-DFW-MCO
23,sched_dep_time,7:15 a.m.
23,act_dep_time,7:21 a.m.
23,sched_arr_time,10:35 a.m.
23,act_arr_time,10:36 a.m.
24,src,aa
24,flight,AA-4307-ORD-DTW
24,sched_dep_time,6:45 p.m.
24,act_dep_time,6:55 p.m.
24,sched_arr_time,9:10 p.m.
24,act_arr_time,8:53 p.m.
25,src,aa
25,flight,AA-3-JFK-LAX
25,sched_dep_time,12:00 p.m.
25,act_dep_time,12:11 p.m.
25,sched_arr_time,3:15 p.m.
25,act_arr_time,3:16 p.m.
26,src,aa
26,flight,AA-3842-MSP-ORD
26,sched_dep_time,6:00 a.m.
26,act_dep_time,6:56 a.m.
26,sched_arr_time,7:30 a.m.
26,act_arr_time,7:51 a.m.
27,src,aa
27,flight,AA-643-MIA-ORD
27,sched_dep_time,7:10 a.m.
27,act_dep_time,7:30 a.m.
27,sched_arr_time,9:35 a.m.
27,act_arr_time,9:31 a.m.
28,src,aa
28,flight,AA-1007-MIA-PHX
28,sched_dep_time,4:55 p.m.
28,act_dep_time,5:08 p.m.
28,sched_arr_time,8:05 p.m.
28,act_arr_time,7:55 p.m.
29,src,aa
29,flight,AA-1221-MCO-ORD
29,sched_dep_time,8:00 p.m.
29,act_dep_time,8:23 p.m.
29,sched_arr_time,9:45 p.m.
29,act_arr_time,9:53 p.m.
30,src,aa
30,flight,AA-400-DFW-JFK
30,sched_dep_time,10:40 a.m.
30,act_dep_time,11:01 a.m.
30,sched_arr_time,2:59 p.m.
30,act_arr_time,3:04 p.m.
31,src,aa
31,flight,AA-4198-ORD-CLE
31,sched_dep_time,10:40 a.m.
31,act_dep_time,10:54 a.m.
31,sched_arr_time,12:55 p.m.
31,act_arr_time,12:50 p.m.
32,src,aa
32,flight,AA-1522-SFO-ORD
32,sched_dep_time,11:55 p.m.
32,act_dep_time,11:55 p.m.
32,sched_arr_time,5:50 a.m.
32,act_arr_time,5:50 a.m.
33,src,aa
33,flight,AA-3823-LAX-DEN
33,sched_dep_time,9:00 p.m.
33,act_dep_time,9:00 p.m.
33,sched_arr_time,12:15 a.m.
33,act_arr_time,12:15 a.m.
34,src,aa
34,flight,AA-2312-DFW-DTW
34,sched_dep_time,8:25 p.m.
34,act_dep_time,8:25 p.m.
34,sched_arr_time,11:50 p.m.
34,act_arr_time,11:50 p.m.
35,src,aa
35,flight,AA-1165-JFK-MIA
35,sched_dep_time,6:59 a.m.
35,act_dep_time,7:22 a.m.
35,sched_arr_time,10:34 a.m.
35,act_arr_time,10:04 a.m.
36,src,aa
36,flight,AA-431-MIA-SFO
36,sched_dep_time,8:35 a.m.
36,act_dep_time,8:51 a.m.
36,sched_arr_time,11:50 a.m.
36,act_arr_time,11:44 a.m.
37,src,aa
37,flight,AA-649-ORD-SNA
37,sched_dep_time,1:30 p.m.
37,act_dep_time,1:30 p.m.
37,sched_arr_time,3:50 p.m.
37,act_arr_time,3:50 p.m.
38,src,aa
38,flight,AA-3063-SLC-LAX
38,sched_dep_time,8:20 p.m.
38,act_dep_time,8:39 p.m.
38,sched_arr_time,9:20 p.m.
38,act_arr_time,9:20 p.m.
39,src,aa
39,flight,AA-3804-PHL-ORD
39,sched_dep_time,2:35 p.m.
39,act_dep_time,2:44 p.m.
39,sched_arr_time,4:05 p.m.
39,act_arr_time,3:43 p.m.
40,src,aa
40,flight,AA-1917-JFK-MCO
40,sched_dep_time,2:55 p.m.
40,act_dep_time,3:27 p.m.
40,sched_arr_time,5:55 p.m.
40,act_arr_time,5:43 p.m.
41,src,aa
41,flight,AA-2268-PHX-ORD
41,sched_dep_time,7:15 a.m.
41,act_dep_time,7:22 a.m.
41,sched_arr_time,11:35 a.m.
41,act_arr_time,11:06 a.m.
42,src,aa
42,flight,AA-4277-CVG-JFK
42,sched_dep_time,12:10 p.m.
42,act_dep_time,12:10 p.m.
42,sched_arr_time,2:15 p.m.
42,act_arr_time,1:43 p.m.
43,src,aa
43,flight,AA-789-ORD-DEN
43,sched_dep_time,1:05 p.m.
43,act_dep_time,1:19 p.m.
43,sched_arr_time,2:35 p.m.
43,act_arr_time,3:13 p.m.
44,src,aa
44,flight,AA-415-BOS-ORD
44,sched_dep_time,8:35 a.m.
44,act_dep_time,8:56 a.m.
44,sched_arr_time,10:40 a.m.
44,act_arr_time,10:16 a.m.
45,src,aa
45,flight,AA-85-JFK-SFO
45,sched_dep_time,3:05 p.m.
45,act_dep_time,3:36 p.m.
45,sched_arr_time,6:30 p.m.
45,act_arr_time,6:43 p.m.
46,src,aa
46,flight,AA-1544-SAN-ORD
46,sched_dep_time,11:25 a.m.
46,act_dep_time,11:40 a.m.
46,sched_arr_time,5:25 p.m.
46,act_arr_time,4:56 p.m.
47,src,aa
47,flight,AA-3786-IAH-ORD
47,sched_dep_time,4:00 p.m.
47,act_dep_time,4:12 p.m.
47,sched_arr_time,6:40 p.m.
47,act_arr_time,6:15 p.m.
48,src,aa
48,flight,AA-222-LAX-BOS
48,sched_dep_time,7:10 a.m.
48,act_dep_time,7:31 a.m.
48,sched_arr_time,3:30 p.m.
48,act_arr_time,3:14 p.m.
49,src,aa
49,flight,AA-3809-PHX-LAX
49,sched_dep_time,6:00 a.m.
49,act_dep_time,6:10 a.m.
49,sched_arr_time,6:40 a.m.
49,act_arr_time,6:19 a.m.
50,src,aa
50,flight,AA-59-JFK-SFO
50,sched_dep_time,7:10 a.m.
50,act_dep_time,7:39 a.m.
50,sched_arr_time,10:45 a.m.
50,act_arr_time,11:12 a.m.
51,src,helloflight
51,flight,AA-3859-IAH-ORD
51,sched_dep_time,7:10 a.m.
51,act_dep_time,7:16 a.m.
51,sched_arr_time,9:40 a.m.
51,act_arr_time,9:32 a.m.
52,src,helloflight
52,flight,CO-1586-IAH-MCO
52,sched_dep_time,7:00 p.m.
52,act_dep_time,7:14 p.m.
52,sched_arr_time,10:15 p.m.
52,act_arr_time,10:29 p.m.
53,src,helloflight
53,flight,AA-518-MIA-JFK
53,sched_dep_time,6:40 a.m.
53,act_dep_time,6:54 a.m.
53,sched_arr_time,9:25 a.m.
53,act_arr_time,9:28 a.m.
54,src,helloflight
54,flight,UA-397-JFK-SFO
54,sched_dep_time,8:00 a.m.
54,act_dep_time,8:29 a.m.
54,sched_arr_time,11:55 a.m.
54,act_arr_time,11:58 a.m.
55,src,helloflight
55,flight,UA-3925-IAD-ORF
55,sched_dep_time,8:41 a.m.
55,act_dep_time,8:42 a.m.
55,sched_arr_time,9:54 a.m.
55,act_arr_time,9:43 a.m.
56,src,helloflight
56,flight,AA-1733-ORD-PHX
56,sched_dep_time,7:45 p.m.
56,act_dep_time,7:58 p.m.
56,sched_arr_time,10:30 p.m.
56,act_arr_time,10:30 p.m.
57,src,helloflight
57,flight,UA-2830-MCO-CLT
57,sched_dep_time,3:27 p.m.
57,act_dep_time,3:27 p.m.
57,sched_arr_time,5:05 p.m.
57,act_arr_time,5:17 p.m.
58,src,helloflight
58,flight,CO-58-DEN-IAH
58,sched_dep_time,11:25 a.m.
58,act_dep_time,11:32 a.m.
58,sched_arr_time,2:50 p.m.
58,act_arr_time,3:31 p.m.
59,src,helloflight
59,flight,AA-1544-SAN-ORD
59,sched_dep_time,11:25 a.m.
59,act_dep_time,11:40 a.m.
59,sched_arr_time,5:25 p.m.
59,act_arr_time,4:56 p.m.
60,src,helloflight
60,flight,UA-5487-SFO-MRY
60,sched_dep_time,10:39 a.m.
60,act_dep_time,10:33 a.m.
60,sched_arr_time,11:19 a.m.
60,act_arr_time,11:21 a.m.
61,src,helloflight
61,flight,AA-204-LAX-MCO
61,sched_dep_time,11:25 p.m.
61,act_dep_time,11:25 p.m.
61,sched_arr_time,6:55 a.m.
61,act_arr_time,6:55 a.m.
62,src,helloflight
62,flight,UA-414-LAX-SFO
62,sched_dep_time,6:00 a.m.
62,act_dep_time,5:56 a.m.
62,sched_arr_time,7:23 a.m.
62,act_arr_time,7:17 a.m.
63,src,helloflight
63,flight,CO-1614-LAX-IAH
63,sched_dep_time,12:30 a.m.
63,act_dep_time,12:41 a.m.
63,sched_arr_time,5:35 a.m.
63,act_arr_time,5:26 a.m.
64,src,helloflight
64,flight,UA-2726-FLL-PHL
64,sched_dep_time,4:00 p.m.
64,act_dep_time,4:00 p.m.
64,sched_arr_time,6:46 p.m.
64,act_arr_time,6:28 p.m.
65,src,helloflight
65,flight,CO-52-IAH-LAX
65,sched_dep_time,7:35 a.m.
65,act_dep_time,7:29 a.m.
65,sched_arr_time,9:21 a.m.
65,act_arr_time,9:14 a.m.
66,src,helloflight
66,flight,CO-1090-BOS-IAH
66,sched_dep_time,9:45 a.m.
66,act_dep_time,10:19 a.m.
66,sched_arr_time,1:16 p.m.
66,act_arr_time,1:19 p.m.
67,src,helloflight
67,flight,AA-616-DFW-DTW
67,sched_dep_time,9:05 a.m.
67,act_dep_time,10:10 a.m.
67,sched_arr_time,12:35 p.m.
67,act_arr_time,1:27 p.m.
68,src,helloflight
68,flight,UA-3515-IAD-MSP
68,sched_dep_time,8:15 a.m.
68,act_dep_time,8:12 a.m.
68,sched_arr_time,10:06 a.m.
68,act_arr_time,9:56 a.m.
69,src,helloflight
69,flight,AA-3468-CVG-MIA
69,sched_dep_time,7:00 a.m.
69,act_dep_time,7:25 a.m.
69,sched_arr_time,9:55 a.m.
69,act_arr_time,9:45 a.m.
70,src,helloflight
70,flight,AA-484-DFW-MIA
70,sched_dep_time,4:15 p.m.
70,act_dep_time,4:29 p.m.
70,sched_arr_time,7:55 p.m.
70,act_arr_time,7:39 p.m.
71,src,helloflight
71,flight,AA-1886-BOS-MIA
71,sched_dep_time,10:45 a.m.
71,act_dep_time,10:55 a.m.
71,sched_arr_time,2:20 p.m.
71,act_arr_time,1:40 p.m.
72,src,helloflight
72,flight,CO-62-IAH-EWR
72,sched_dep_time,2:30 p.m.
72,act_dep_time,2:48 p.m.
72,sched_arr_time,7:03 p.m.
72,act_arr_time,7:10 p.m.
73,src,helloflight
73,flight,CO-1561-PHX-IAH
73,sched_dep_time,8:05 a.m.
73,act_dep_time,8:00 a.m.
73,sched_arr_time,11:35 a.m.
73,act_arr_time,11:32 a.m.
74,src,helloflight
74,flight,UA-2314-ATL-PHL
74,sched_dep_time,2:55 p.m.
74,act_dep_time,2:55 p.m.
74,sched_arr_time,5:00 p.m.
74,act_arr_time,4:47 p.m.
75,src,helloflight
75,flight,AA-446-DFW-PHL
75,sched_dep_time,11:50 a.m.
75,act_dep_time,12:12 p.m.
75,sched_arr_time,3:50 p.m.
75,act_arr_time,4:09 p.m.
76,src,helloflight
76,flight,CO-1023-IAH-DEN
76,sched_dep_time,11:40 a.m.
76,act_dep_time,11:56 a.m.
76,sched_arr_time,1:17 p.m.
76,act_arr_time,1:14 p.m.
77,src,helloflight
77,flight,AA-466-IAH-MIA
77,sched_dep_time,6:00 a.m.
77,act_dep_time,6:08 a.m.
77,sched_arr_time,9:20 a.m.
77,act_arr_time,9:05 a.m.
78,src,helloflight
78,flight,UA-3050-PHX-CLT
78,sched_dep_time,11:05 a.m.
78,act_dep_time,11:30 a.m.
78,sched_arr_time,4:57 p.m.
78,act_arr_time,5:05 p.m.
79,src,helloflight
79,flight,CO-89-IAH-EWR
79,sched_dep_time,6:00 a.m.
79,act_dep_time,6:02 a.m.
79,sched_arr_time,10:20 a.m.
79,act_arr_time,10:27 a.m.
80,src,helloflight
80,flight,CO-1088-CLE-IAH
80,sched_dep_time,8:40 a.m.
80,act_dep_time,8:40 a.m.
80,sched_arr_time,10:54 a.m.
80,act_arr_time,10:56 a.m.
81,src,helloflight
81,flight,AA-1664-MIA-ATL
81,sched_dep_time,10:15 a.m.
81,act_dep_time,10:18 a.m.
81,sched_arr_time,12:10 p.m.
81,act_arr_time,11:56 a.m.
82,src,helloflight
82,flight,AA-1279-DFW-PHX
82,sched_dep_time,1:00 p.m.
82,act_dep_time,2:04 p.m.
82,sched_arr_time,2:35 p.m.
82,act_arr_time,3:30 p.m.
83,src,helloflight
83,flight,UA-854-SFO-IAH
83,sched_dep_time,7:53 a.m.
83,act_dep_time,7:49 a.m.
83,sched_arr_time,1:39 p.m.
83,act_arr_time,1:30 p.m.
84,src,helloflight
84,flight,UA-382-IAD-LAX
84,sched_dep_time,12:30 p.m.
84,act_dep_time,12:35 p.m.
84,sched_arr_time,3:19 p.m.
84,act_arr_time,3:21 p.m.
85,src,helloflight
85,flight,AA-4344-ORD-DTW
85,sched_dep_time,11:45 a.m.
85,act_dep_time,12:13 p.m.
85,sched_arr_time,2:00 p.m.
85,act_arr_time,2:10 p.m.
86,src,helloflight
86,flight,UA-257-JFK-SFO
86,sched_dep_time,2:30 p.m.
86,act_dep_time,2:26 p.m.
86,sched_arr_time,6:15 p.m.
86,act_arr_time,5:42 p.m.
87,src,helloflight
87,flight,UA-2945-PHL-CLT
87,sched_dep_time,12:00 a.m.
87,act_dep_time,3:11 a.m.
87,sched_arr_time,1:45 p.m.
87,act_arr_time,1:15 p.m.
88,src,helloflight
88,flight,CO-63-EWR-IAH
88,sched_dep_time,5:25 p.m.
88,act_dep_time,5:22 p.m.
88,sched_arr_time,8:22 p.m.
88,act_arr_time,8:03 p.m.
89,src,helloflight
89,flight,CO-47-IAH-LAX
89,sched_dep_time,7:10 p.m.
89,act_dep_time,8:25 p.m.
89,sched_arr_time,8:56 p.m.
89,act_arr_time,9:52 p.m.
90,src,helloflight
90,flight,AA-2050-ORD-MIA
90,sched_dep_time,10:40 a.m.
90,act_dep_time,11:05 a.m.
90,sched_arr_time,2:45 p.m.
90,act_arr_time,2:46 p.m.
91,src,helloflight
91,flight,UA-248-PHX-ORD
91,sched_dep_time,12:57 p.m.
91,act_dep_time,1:32 p.m.
91,sched_arr_time,5:15 p.m.
91,act_arr_time,5:34 p.m.
92,src,helloflight
92,flight,AA-4330-CVG-ORD
92,sched_dep_time,3:35 p.m.
92,act_dep_time,3:36 p.m.
92,sched_arr_time,4:00 p.m.
92,act_arr_time,3:33 p.m.
93,src,helloflight
93,flight,AA-1434-DFW-MCO
93,sched_dep_time,7:15 a.m.
93,act_dep_time,7:21 a.m.
93,sched_arr_time,10:35 a.m.
93,act_arr_time,10:36 a.m.
94,src,helloflight
94,flight,AA-1640-MIA-MCO
94,sched_dep_time,6:30 p.m.
94,act_dep_time,6:30 p.m.
94,sched_arr_time,7:25 p.m.
94,act_arr_time,7:25 p.m.
95,src,helloflight
95,flight,AA-4307-ORD-DTW
95,sched_dep_time,6:45 p.m.
95,act_dep_time,6:55 p.m.
95,sched_arr_time,9:10 p.m.
95,act_arr_time,8:53 p.m.
96,src,helloflight
96,flight,AA-3-JFK-LAX
96,sched_dep_time,12:00 p.m.
96,act_dep_time,12:11 p.m.
96,sched_arr_time,3:15 p.m.
96,act_arr_time,3:16 p.m.
97,src,helloflight
97,flight,CO-1694-LAX-IAH
97,sched_dep_time,7:15 p.m.
97,act_dep_time,7:15 p.m.
97,sched_arr_time,12:21 a.m.
97,act_arr_time,12:21 a.m.
98,src,helloflight
98,flight,UA-843-LAX-ORD
98,sched_dep_time,1:55 p.m.
98,act_dep_time,2:10 p.m.
98,sched_arr_time,7:53 p.m.
98,act_arr_time,7:58 p.m.
99,src,helloflight
99,flight,CO-1193-EWR-MCO
99,sched_dep_time,9:15 a.m.
99,act_dep_time,9:14 a.m.
99,sched_arr_time,12:18 p.m.
99,act_arr_time,12:09 p.m.
100,src,helloflight
100,flight,AA-3842-MSP-ORD
100,sched_dep_time,6:00 a.m.
100,act_dep_time,6:56 a.m.
100,sched_arr_time,7:30 a.m.
100,act_arr_time,7:51 a.m.
101,src,helloflight
101,flight,AA-643-MIA-ORD
101,sched_dep_time,7:10 a.m.
101,act_dep_time,7:30 a.m.
101,sched_arr_time,9:35 a.m.
101,act_arr_time,9:31 a.m.
102,src,helloflight
102,flight,AA-1007-MIA-PHX
102,sched_dep_time,4:55 p.m.
102,act_dep_time,5:08 p.m.
102,sched_arr_time,8:05 p.m.
102,act_arr_time,7:55 p.m.
103,src,helloflight
103,flight,AA-2525-DFW-MIA
103,sched_dep_time,7:25 a.m.
103,act_dep_time,7:39 a.m.
103,sched_arr_time,11:10 a.m.
103,act_arr_time,11:06 a.m.
104,src,helloflight
104,flight,UA-2906-PHL-MCO
104,sched_dep_time,3:50 p.m.
104,act_dep_time,4:28 p.m.
104,sched_arr_time,6:23 p.m.
104,act_arr_time,6:38 p.m.
105,src,helloflight
105,flight,UA-938-DEN-ORD
105,sched_dep_time,4:16 p.m.
105,act_dep_time,4:15 p.m.
105,sched_arr_time,7:35 p.m.
105,act_arr_time,7:36 p.m.
106,src,helloflight
106,flight,AA-1221-MCO-ORD
106,sched_dep_time,8:00 p.m.
106,act_dep_time,8:23 p.m.
106,sched_arr_time,9:45 p.m.
106,act_arr_time,9:53 p.m.
107,src,helloflight
107,flight,CO-16-LAX-EWR
107,sched_dep_time,10:25 a.m.
107,act_dep_time,10:20 a.m.
107,sched_arr_time,6:44 p.m.
107,act_arr_time,6:34 p.m.
108,src,helloflight
108,flight,UA-2515-DFW-CLT
108,sched_dep_time,7:05 a.m.
108,act_dep_time,7:05 a.m.
108,sched_arr_time,10:31 a.m.
108,act_arr_time,10:47 a.m.
109,src,helloflight
109,flight,AA-400-DFW-JFK
109,sched_dep_time,10:40 a.m.
109,act_dep_time,11:01 a.m.
109,sched_arr_time,2:59 p.m.
109,act_arr_time,3:04 p.m.
110,src,helloflight
110,flight,UA-664-ORD-PHL
110,sched_dep_time,1:33 p.m.
110,act_dep_time,1:31 p.m.
110,sched_arr_time,4:31 p.m.
110,act_arr_time,4:23 p.m.
111,src,helloflight
111,flight,AA-3756-ORD-SLC
111,sched_dep_time,12:15 p.m.
111,act_dep_time,12:41 p.m.
111,sched_arr_time,2:45 p.m.
111,act_arr_time,2:50 p.m.
112,src,helloflight
112,flight,UA-37-EWR-MCO
112,sched_dep_time,1:29 p.m.
112,act_dep_time,1:48 p.m.
112,sched_arr_time,4:17 p.m.
112,act_arr_time,4:17 p.m.
113,src,helloflight
113,flight,AA-1522-SFO-ORD
113,sched_dep_time,11:55 p.m.
113,act_dep_time,11:55 p.m.
113,sched_arr_time,5:50 a.m.
113,act_arr_time,5:50 a.m.
114,src,helloflight
114,flight,UA-233-LAX-JFK
114,sched_dep_time,4:25 p.m.
114,act_dep_time,4:25 p.m.
114,sched_arr_time,12:29 a.m.
114,act_arr_time,12:29 a.m.
115,src,helloflight
115,flight,AA-3823-LAX-DEN
115,sched_dep_time,9:00 p.m.
115,act_dep_time,9:00 p.m.
115,sched_arr_time,12:15 a.m.
115,act_arr_time,12:15 a.m.
116,src,helloflight
116,flight,AA-2312-DFW-DTW
116,sched_dep_time,8:25 p.m.
116,act_dep_time,8:25 p.m.
116,sched_arr_time,11:50 p.m.
116,act_arr_time,11:50 p.m.
117,src,helloflight
117,flight,AA-1165-JFK-MIA
117,sched_dep_time,6:59 a.m.
117,act_dep_time,7:22 a.m.
117,sched_arr_time,10:34 a.m.
117,act_arr_time,10:04 a.m.
118,src,helloflight
118,flight,AA-431-MIA-SFO
118,sched_dep_time,8:35 a.m.
118,act_dep_time,8:51 a.m.
118,sched_arr_time,11:50 a.m.
118,act_arr_time,11:44 a.m.
119,src,helloflight
119,flight,UA-3373-IAD-PHL
119,sched_dep_time,8:29 a.m.
119,act_dep_time,8:26 a.m.
119,sched_arr_time,9:24 a.m.
119,act_arr_time,9:13 a.m.
120,src,helloflight
120,flight,AA-649-ORD-SNA
120,sched_dep_time,1:30 p.m.
120,act_dep_time,1:30 p.m.
120,sched_arr_time,3:50 p.m.
120,act_arr_time,3:50 p.m.
121,src,helloflight
121,flight,CO-1250-MIA-IAH
121,sched_dep_time,2:53 p.m.
121,act_dep_time,3:01 p.m.
121,sched_arr_time,4:48 p.m.
121,act_arr_time,4:59 p.m.
122,src,helloflight
122,flight,UA-6273-YYC-SFO
122,sched_dep_time,7:35 a.m.
122,act_dep_time,7:27 a.m.
122,sched_arr_time,9:43 a.m.
122,act_arr_time,8:45 a.m.
123,src,helloflight
123,flight,UA-828-SFO-ORD
123,sched_dep_time,11:08 p.m.
123,act_dep_time,11:08 p.m.
123,sched_arr_time,5:11 a.m.
123,act_arr_time,5:11 a.m.
124,src,helloflight
124,flight,CO-4888-IAH-DAL
124,sched_dep_time,5:30 p.m.
124,act_dep_time,5:30 p.m.
124,sched_arr_time,6:40 p.m.
124,act_arr_time,6:40 p.m.
125,src,helloflight
125,flight,UA-858-PVG-SFO
125,sched_dep_time,1:45 p.m.
125,act_dep_time,1:32 p.m.
125,sched_arr_time,8:27 a.m.
125,act_arr_time,8:02 a.m.
126,src,helloflight
126,flight,UA-2704-DTW-PHX
126,sched_dep_time,11:15 a.m.
126,act_dep_time,11:15 a.m.
126,sched_arr_time,1:40 p.m.
126,act_arr_time,2:00 p.m.
127,src,helloflight
127,flight,AA-3063-SLC-LAX
127,sched_dep_time,8:20 p.m.
127,act_dep_time,8:39 p.m.
127,sched_arr_time,9:20 p.m.
127,act_arr_time,9:20 p.m.
128,src,helloflight
128,flight,UA-2708-EWR-CLT
128,sched_dep_time,2:55 p.m.
128,act_dep_time,2:55 p.m.
128,sched_arr_time,4:53 p.m.
128,act_arr_time,4:44 p.m.
129,src,helloflight
129,flight,UA-62-IAH-EWR
129,sched_dep_time,2:30 p.m.
129,act_dep_time,2:48 p.m.
129,sched_arr_time,7:03 p.m.
129,act_arr_time,7:10 p.m.
130,src,helloflight
130,flight,UA-1500-IAH-GUA
130,sched_dep_time,8:55 a.m.
130,act_dep_time,9:16 a.m.
130,sched_arr_time,11:45 a.m.
130,act_arr_time,11:56 a.m.
131,src,helloflight
131,flight,AA-3804-PHL-ORD
131,sched_dep_time,2:35 p.m.
131,act_dep_time,2:44 p.m.
131,sched_arr_time,4:05 p.m.
131,act_arr_time,3:43 p.m.
132,src,helloflight
132,flight,AA-1917-JFK-MCO
132,sched_dep_time,2:55 p.m.
132,act_dep_time,3:27 p.m.
132,sched_arr_time,5:55 p.m.
132,act_arr_time,5:43 p.m.
133,src,helloflight
133,flight,AA-2268-PHX-ORD
133,sched_dep_time,7:15 a.m.
133,act_dep_time,7:22 a.m.
133,sched_arr_time,11:35 a.m.
133,act_arr_time,11:06 a.m.
134,src,helloflight
134,flight,AA-4277-CVG-JFK
134,sched_dep_time,12:10 p.m.
134,act_dep_time,12:10 p.m.
134,sched_arr_time,2:15 p.m.
134,act_arr_time,1:43 p.m.
135,src,helloflight
135,flight,AA-2957-DFW-CVG
135,sched_dep_time,7:55 a.m.
135,act_dep_time,8:04 a.m.
135,sched_arr_time,11:05 a.m.
135,act_arr_time,11:01 a.m.
136,src,helloflight
136,flight,UA-37-EDI-EWR
136,sched_dep_time,9:05 a.m.
136,act_dep_time,8:52 a.m.
136,sched_arr_time,11:53 a.m.
136,act_arr_time,12:09 p.m.
137,src,helloflight
137,flight,AA-789-ORD-DEN
137,sched_dep_time,1:05 p.m.
137,act_dep_time,1:19 p.m.
137,sched_arr_time,2:35 p.m.
137,act_arr_time,3:13 p.m.
138,src,helloflight
138,flight,AA-415-BOS-ORD
138,sched_dep_time,8:35 a.m.
138,act_dep_time,8:56 a.m.
138,sched_arr_time,10:40 a.m.
138,act_arr_time,10:16 a.m.
139,src,helloflight
139,flight,AA-85-JFK-SFO
139,sched_dep_time,3:05 p.m.
