Source,Flight_Num,Scheduled_Dept,Actual_Dept,Dept_Gate,Scheduled_Arrival,Actual_Arrival,Arrival_Gat
allegiantair,AA-1221-MCO-ORD,8:00 PM; Dec 01,8:23 PM; Dec 01,Terminal A - 17,9:45 PM; Dec 01,9:49 PM; Dec 01,Terminal 3
boston,AA-1221-MCO-ORD,8:00 PM; Dec 01,8:23 PM; Dec 01,,9:45 PM; Dec 01,9:49 PM; Dec 01,
travelocity,AA-1221-MCO-ORD,Dec 01 - 8:00pm,Dec 01 - 8:01pm,17,Dec 01 - 9:45pm,Dec 01 - 9:53pm,K7/T3
orbitz,AA-1221-MCO-ORD,8:00pDec 1,8:01pDec 1,17,9:45pDec 1,9:53pDec 1,K7
weather,AA-1221-MCO-ORD,2011-12-01 08:00 PM,,,2011-12-01 09:45 PM,,
ord,AA-1221-MCO-ORD,2011-12-01 11/30 8:00 PM,,15,2011-12-01 11/30 9:45 PM,,H11
mco,AA-1221-MCO-ORD,2011-12-01 Thu  20:00,,17?,,,
usatoday,AA-1221-MCO-ORD,8:00 PM; Dec 01,8:23 PM; Dec 01,,9:45 PM; Dec 01,9:49 PM; Dec 01,
mytripandmore,AA-1221-MCO-ORD,8:00pDec 1,8:01pDec 1,17,9:45pDec 1,9:53pDec 1,K7
flightarrival,AA-1221-MCO-ORD,2011-12-01 08:00 PM,,,2011-12-01 09:45 PM,,
aa,AA-1007-TPA-MIA,12/01/2011 01:55 PM,12/01/2011 02:07 PM,F78,12/01/2011 03:00 PM,12/01/2011 02:57 PM,D5
aa,AA-4307-ORD-DTW,12/01/2011 06:45 PM,12/01/2011 06:55 PM,G19A,12/01/2011 09:10 PM,12/01/2011 08:53 PM,D28
flightexplorer,AA-4307-ORD-DTW,,12/1/2011 6:56PM CST,,,12/1/2011 8:38PM EST,
airtravelcenter,AA-4307-ORD-DTW,,12/1/11 6:56 PM (-06:00),,,12/1/11 8:38 PM (-05:00),
myrateplan,AA-4307-ORD-DTW,,12/1/11 6:56 PM (-06:00),,,12/1/11 8:38 PM (-05:00),
helloflight,AA-4307-ORD-DTW,,12/1/11 6:56 PM (-06:00),,,12/1/11 8:38 PM (-05:00),
flytecomm,AA-4307-ORD-DTW,,12/1/11 6:56 PM (-06:00),,,12/1/11 8:38 PM (-05:00),
flightaware,AA-4307-ORD-DTW,2011-12-01 06:45PM CST,2011-12-01 06:56PM CST,G19A ,2011-12-01 09:00PM EST,2011-12-01 08:38PM EST,D28 
wunderground,AA-4307-ORD-DTW,2011-12-01 06:45PM CST,2011-12-01 06:56PM CST,G19A ,2011-12-01 09:00PM EST,2011-12-01 08:38PM EST,D28 
flights,AA-4307-ORD-DTW,06:45 PM  Thu 01-Dec-2011,06:55 PM  Thu 01-Dec-2011,G19A,09:10 PM  Thu 01-Dec-2011,08:53 PM  Thu 01-Dec-2011,D28
businesstravellogue,AA-4307-ORD-DTW,06:45 PM  Thu 01-Dec-2011,06:55 PM  Thu 01-Dec-2011,G19A,09:10 PM  Thu 01-Dec-2011,08:53 PM  Thu 01-Dec-2011,D28
flylouisville,AA-4307-ORD-DTW,06:45 PM  Thu 01-Dec-2011,06:55 PM  Thu 01-Dec-2011,G19A,09:10 PM  Thu 01-Dec-2011,08:53 PM  Thu 01-Dec-2011,D28
flightstats,AA-4307-ORD-DTW,2011-12-01 6:45 PM,2011-12-01 6:55 PM,,2011-12-01 9:10 PM,2011-12-01 8:53 PM,
quicktrip,AA-4307-ORD-DTW,2011-12-01 6:45 PM,2011-12-01 6:55 PM,,2011-12-01 9:10 PM,2011-12-01 8:53 PM,
world-flight-tracker,AA-4307-ORD-DTW,2011-12-01 6:45 PM,2011-12-01 6:55 PM,,2011-12-01 9:10 PM,2011-12-01 8:53 PM,
flightview,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,Terminal 3,9:10 PM; Dec 01,8:43 PM; Dec 01,Terminal N
panynj,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,Terminal 3,9:10 PM; Dec 01,8:43 PM; Dec 01,Terminal N
gofox,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,,9:10 PM; Dec 01,8:43 PM; Dec 01,
foxbusiness,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,Terminal 3,9:10 PM; Dec 01,8:43 PM; Dec 01,Terminal N
allegiantair,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,Terminal 3,9:10 PM; Dec 01,8:43 PM; Dec 01,Terminal N
boston,AA-4307-ORD-DTW,6:45 PM; Dec 01,6:56 PM; Dec 01,,9:10 PM; Dec 01,8:43 PM; Dec 01,
travelocity,AA-4307-ORD-DTW,Dec 01 - 6:45pm,Dec 01 - 6:40pm,G19A/T3,Dec 01 - 9:10pm,Dec 01 - 8:53pm,D28
orbitz,AA-4307-ORD-DTW,6:45pDec 1,6:40pDec 1,G19A,9:10pDec 1,8:53pDec 1,D28
weather,AA-4307-ORD-DTW,2011-12-01 06:45 PM,,,2011-12-01 09:10 PM,,
ord,AA-4307-ORD-DTW,2011-12-01 11/30 6:45 PM,,G7,2011-12-01 11/30 9:10 PM,,D28
usatoday,AA-4307-ORD-DTW,2011-12-01 06:45 PM,,,2011-12-01 09:10 PM,,
mytripandmore,AA-4307-ORD-DTW,6:45pDec 1,6:40pDec 1,G19A,9:10pDec 1,8:53pDec 1,D28
flightwise,AA-4307-ORD-DTW,2011-12-01 06:45PM CST,2011-12-01 06:56PM CST,G19A ,2011-12-01 09:00PM EST,2011-12-01 08:38PM EST,D28 
flightarrival,AA-4307-ORD-DTW,2011-12-01 6:45 PM,2011-12-01 6:55 PM,,2011-12-01 9:10 PM,2011-12-01 8:53 PM,
ua,UA-5850-IAD-CLE,Thu; Dec 1 12:40 PM,Thu; Dec 1 12:30 PM,C9,Thu; Dec 1 1:52 PM,Thu; Dec 1 1:36 PM,C22
flightexplorer,AA-1007-TPA-MIA,,12/1/2011 2:07PM EST,,,12/1/2011 2:51PM EST,
airtravelcenter,AA-1007-TPA-MIA,,12/1/11 2:06 PM (-05:00),,,12/1/11 2:51 PM (-05:00),
myrateplan,AA-1007-TPA-MIA,,12/1/11 2:06 PM (-05:00),,,12/1/11 2:51 PM (-05:00),
helloflight,AA-1007-TPA-MIA,,12/1/11 2:06 PM (-05:00),,,12/1/11 2:51 PM (-05:00),
flytecomm,AA-1007-TPA-MIA,,12/1/11 2:06 PM (-05:00),,,12/1/11 2:51 PM (-05:00),
flights,AA-1007-TPA-MIA,,2011-12-01 02:07 PM,F78,,2011-12-01 02:57 PM,D5
businesstravellogue,AA-1007-TPA-MIA,,2011-12-01 02:07 PM,F78,,2011-12-01 02:57 PM,D5
flylouisville,AA-1007-TPA-MIA,,2011-12-01 02:07 PM,F78,,2011-12-01 02:57 PM,D5
flightview,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:57 PMDec 01,
panynj,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:57 PMDec 01,
gofox,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:57 PMDec 01,
foxbusiness,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:57 PMDec 01,
allegiantair,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:57 PMDec 01,
boston,AA-1007-TPA-MIA,,2:07 PMDec 01,,,2:49 PMDec 01,
travelocity,AA-1007-TPA-MIA,Dec 01 - 1:55pm,Dec 01 - 1:57pm,F78,Dec 01 - 3:00pm,Dec 01 - 2:57pm,D5
orbitz,AA-1007-TPA-MIA,1:55pDec 1,1:57pDec 1,F78,3:00pDec 1,2:57pDec 1,D5
weather,AA-1007-TPA-MIA,2011-12-01 01:55 PM,,,2011-12-01 03:00 PM,,
mia,AA-1007-TPA-MIA,,,,3:00P 12-01-11,2011-12-01  2:57P,
mytripandmore,AA-1007-TPA-MIA,1:55pDec 1,1:57pDec 1,F78,3:00pDec 1,2:57pDec 1,D5
flightarrival,AA-1007-TPA-MIA,2011-12-01 01:55 PM,,,2011-12-01 03:00 PM,,
aa,AA-1518-DFW-SDF,12/01/2011 12:10 PM,12/01/2011 12:17 PM,C20,12/01/2011 03:10 PM,12/01/2011 02:57 PM,A15
flightexplorer,AA-1518-DFW-SDF,,12/1/2011 12:18PM CST,,,12/1/2011 2:53PM EST,
airtravelcenter,AA-1518-DFW-SDF,,12/1/11 12:18 PM (-06:00),,,12/1/11 2:53 PM (-05:00),
myrateplan,AA-1518-DFW-SDF,,12/1/11 12:18 PM (-06:00),,,12/1/11 2:53 PM (-05:00),
helloflight,AA-1518-DFW-SDF,,12/1/11 12:18 PM (-06:00),,,12/1/11 2:53 PM (-05:00),
flytecomm,AA-1518-DFW-SDF,,12/1/11 12:18 PM (-06:00),,,12/1/11 2:53 PM (-05:00),
flightaware,AA-1518-DFW-SDF,2011-12-01 12:10PM CST,2011-12-01 12:18PM CST,C20 ,2011-12-01 02:46PM EST,2011-12-01 02:53PM EST,A15 
wunderground,AA-1518-DFW-SDF,2011-12-01 12:10PM CST,2011-12-01 12:18PM CST,C20 ,2011-12-01 02:46PM EST,2011-12-01 02:53PM EST,A15 
flights,AA-1518-DFW-SDF,12:10 PM  Thu 01-Dec-2011,12:17 PM  Thu 01-Dec-2011,C20,03:10 PM  Thu 01-Dec-2011,02:57 PM  Thu 01-Dec-2011,A15
businesstravellogue,AA-1518-DFW-SDF,12:10 PM  Thu 01-Dec-2011,12:17 PM  Thu 01-Dec-2011,C20,03:10 PM  Thu 01-Dec-2011,02:57 PM  Thu 01-Dec-2011,A15
flylouisville,AA-1518-DFW-SDF,12:10 PM  Thu 01-Dec-2011,12:17 PM  Thu 01-Dec-2011,C20,03:10 PM  Thu 01-Dec-2011,02:57 PM  Thu 01-Dec-2011,A15
flightstats,AA-1518-DFW-SDF,2011-12-01 12:10 PM,2011-12-01 12:17 PM,,2011-12-01 3:10 PM,2011-12-01 2:57 PM,
quicktrip,AA-1518-DFW-SDF,2011-12-01 12:10 PM,2011-12-01 12:17 PM,,2011-12-01 3:10 PM,2011-12-01 2:57 PM,
world-flight-tracker,AA-1518-DFW-SDF,2011-12-01 12:10 PM,2011-12-01 12:17 PM,,2011-12-01 3:10 PM,2011-12-01 2:57 PM,
flightview,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
panynj,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
gofox,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
foxbusiness,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
allegiantair,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
boston,AA-1518-DFW-SDF,12:10 PM; Dec 01,12:18 PM; Dec 01,,3:10 PM; Dec 01,2:52 PM; Dec 01,
travelocity,AA-1518-DFW-SDF,Dec 01 - 12:10pm,Dec 01 - 12:05pm,C20/C,Dec 01 - 3:10pm,Dec 01 - 2:57pm,A15
orbitz,AA-1518-DFW-SDF,12:10pDec 1,12:05pDec 1,C20,3:10pDec 1,2:57pDec 1,A15
weather,AA-1518-DFW-SDF,2011-12-01 12:10 PM,,,2011-12-01 03:10 PM,,
dfw,AA-1518-DFW-SDF,2011-12-01 12:10 pm,,C20,,,
ifly,AA-1518-DFW-SDF,2011-12-01 12:10 PM,2011-12-01 12:17 PM,,2011-12-01 3:10 PM,2011-12-01 2:57 PM,
mytripandmore,AA-1518-DFW-SDF,Dec 01 - 12:10pm,Dec 01 - 12:05pm,C20/C,Dec 01 - 3:10pm,Dec 01 - 2:57pm,A15
flightarrival,AA-1518-DFW-SDF,2011-12-01 12:10 PM,,,2011-12-01 03:10 PM,,
ua,UA-4642-IAH-AMA,Thu; Dec 1 6:20 PM,Thu; Dec 1 6:20 PM,B84N,Thu; Dec 1 8:03 PM,Thu; Dec 1 8:03 PM,4
airtravelcenter,UA-4642-IAH-AMA,12/1/11 6:20 PM (-06:00),,,12/1/11 8:03 PM (-06:00),,
myrateplan,UA-4642-IAH-AMA,12/1/11 6:20 PM (-06:00),,,12/1/11 8:03 PM (-06:00),,
helloflight,UA-4642-IAH-AMA,12/1/11 6:20 PM (-06:00),,,12/1/11 8:03 PM (-06:00),,
flytecomm,UA-4642-IAH-AMA,12/1/11 6:20 PM (-06:00),,,12/1/11 8:03 PM (-06:00),,
flights,UA-4642-IAH-AMA,06:20 PM  Thu 01-Dec-2011,,,08:03 PM  Thu 01-Dec-2011,,
businesstravellogue,UA-4642-IAH-AMA,06:20 PM  Thu 01-Dec-2011,,,08:03 PM  Thu 01-Dec-2011,,
flylouisville,UA-4642-IAH-AMA,06:20 PM  Thu 01-Dec-2011,,,08:03 PM  Thu 01-Dec-2011,,
flightstats,UA-4642-IAH-AMA,2011-12-01 6:20 PM,2011-12-01 6:20 PM (Estimated),,2011-12-01 8:03 PM,2011-12-01 8:03 PM (Estimated),
quicktrip,UA-4642-IAH-AMA,2011-12-01 6:20 PM,2011-12-01 6:20 PM (Estimated),,2011-12-01 8:03 PM,2011-12-01 8:03 PM (Estimated),
world-flight-tracker,UA-4642-IAH-AMA,2011-12-01 6:20 PM,2011-12-01 6:20 PM (Estimated),,2011-12-01 8:03 PM,2011-12-01 8:03 PM (Estimated),
flightview,UA-4642-IAH-AMA,6:20 PM; Dec 01,,Term B - B84N,8:03 PM; Dec 01,,Main Term - 4
panynj,UA-4642-IAH-AMA,6:20 PM; Dec 01,,Term B - B84N,8:03 PM; Dec 01,,Main Term - 4
gofox,UA-4642-IAH-AMA,6:20 PM; Dec 01,,,8:03 PM; Dec 01,,
foxbusiness,UA-4642-IAH-AMA,6:20 PM; Dec 01,,Term B - B84N,8:03 PM; Dec 01,,Main Term - 4
allegiantair,UA-4642-IAH-AMA,6:20 PM; Dec 01,,Term B - B84N,8:03 PM; Dec 01,,Main Term - 4
boston,UA-4642-IAH-AMA,6:20 PM; Dec 01,Not Available,,8:03 PM; Dec 01,Not Available,
travelocity,UA-4642-IAH-AMA,Dec 01 - 6:20pm,Dec 01 - Contact Airline,Not provided by airline,Dec 01 - 8:03pm,Dec 01 - Contact Airline,Not provided by airline
orbitz,UA-4642-IAH-AMA,6:20pDec 1,,B84N,8:03pDec 1,,4
ifly,UA-4642-IAH-AMA,2011-12-01 6:20 PM,2011-12-01 6:20 PM (Estimated),,2011-12-01 8:03 PM,2011-12-01 8:03 PM (Estimated),
mytripandmore,UA-4642-IAH-AMA,Dec 01 - 6:20pm,Dec 01 - Contact Airline,Not provided by airline,Dec 01 - 8:03pm,Dec 01 - Contact Airline,Not provided by airline
ua,UA-432-SFO-ORD,Thu; Dec 1 6:00 AM,Thu; Dec 1 6:04 AM,82,Thu; Dec 1 12:18 PM,Thu; Dec 1 12:09 PM,C25
flightexplorer,UA-432-SFO-ORD,,12/1/2011 6:24AM PST,,,12/1/2011 12:08PM CST,
airtravelcenter,UA-432-SFO-ORD,,12/1/11 6:25 AM (-08:00),,,12/1/11 12:08 PM (-06:00),
myrateplan,UA-432-SFO-ORD,,12/1/11 6:25 AM (-08:00),,,12/1/11 12:08 PM (-06:00),
helloflight,UA-432-SFO-ORD,,12/1/11 6:25 AM (-08:00),,,12/1/11 12:08 PM (-06:00),
flytecomm,UA-432-SFO-ORD,,12/1/11 6:25 AM (-08:00),,,12/1/11 12:08 PM (-06:00),
flights,UA-432-SFO-ORD,,2011-12-01 06:04 AM,82,,2011-12-01 12:09 PM,C25
businesstravellogue,UA-432-SFO-ORD,,2011-12-01 06:04 AM,82,,2011-12-01 12:09 PM,C25
flylouisville,UA-432-SFO-ORD,,2011-12-01 06:04 AM,82,,2011-12-01 12:09 PM,C25
flightview,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:09 PMDec 01,
panynj,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:09 PMDec 01,
gofox,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:09 PMDec 01,
foxbusiness,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:09 PMDec 01,
allegiantair,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:09 PMDec 01,
boston,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:06 PMDec 01,
travelocity,UA-432-SFO-ORD,Dec 01 - Not Available,Dec 01 - 6:25am,82,Dec 01 - Not Available,Dec 01 - 12:09pm,C25
orbitz,UA-432-SFO-ORD,6:00aDec 1,6:04aDec 1,82,12:18pDec 1,12:09pDec 1,C25
weather,UA-432-SFO-ORD,2011-12-01 06:00 AM,,,2011-12-01 12:18 PM,,
ord,UA-432-SFO-ORD,2011-12-01 6:00 AM,,82,2011-12-01 12:18 PM,,C25
usatoday,UA-432-SFO-ORD,,6:25 AMDec 01,,,12:06 PMDec 01,
CO,CO-4461-EWR-CVG,Thu.; Dec.01; 2011 1:55 p.m.,Thu.; Dec.01; 2011 3:37 p.m.,,Thu.; Dec.01; 2011 4:00 p.m.,Thu.; Dec.01; 2011 5:36 p.m.,
airtravelcenter,CO-4461-EWR-CVG,12/1/11 1:55 PM (-05:00),,,12/1/11 4:00 PM (-05:00),,
myrateplan,CO-4461-EWR-CVG,12/1/11 1:55 PM (-05:00),,,12/1/11 4:00 PM (-05:00),,
helloflight,CO-4461-EWR-CVG,12/1/11 1:55 PM (-05:00),,,12/1/11 4:00 PM (-05:00),,
flytecomm,CO-4461-EWR-CVG,12/1/11 1:55 PM (-05:00),,,12/1/11 4:00 PM (-05:00),,
flights,CO-4461-EWR-CVG,,2011-12-01 03:37 PM,23A,,2011-12-01 05:36 PM,2
businesstravellogue,CO-4461-EWR-CVG,,2011-12-01 03:37 PM,23A,,2011-12-01 05:36 PM,2
flylouisville,CO-4461-EWR-CVG,,2011-12-01 03:37 PM,23A,,2011-12-01 05:36 PM,2
flightstats,CO-4461-EWR-CVG,2011-12-01 1:55 PM,2011-12-01 3:37 PM,,2011-12-01 4:00 PM,2011-12-01 5:36 PM,
quicktrip,CO-4461-EWR-CVG,2011-12-01 1:55 PM,2011-12-01 3:37 PM,,2011-12-01 4:00 PM,2011-12-01 5:36 PM,
flightview,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:36 PMDec 01,
panynj,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:36 PMDec 01,
gofox,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:36 PMDec 01,
foxbusiness,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:36 PMDec 01,
allegiantair,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:36 PMDec 01,
boston,CO-4461-EWR-CVG,,3:54 PMDec 01,,,5:32 PMDec 01,
orbitz,CO-4461-EWR-CVG,1:55pDec 1,3:37pDec 1,-,4:00pDec 1,5:36pDec 1,-
orbitz,CO-4461-EWR-CVG,1:55pDec 1,3:37pDec 1,A23A,4:00pDec 1,5:36pDec 1,2
weather,CO-4461-EWR-CVG,2011-12-01 01:55 PM,,,2011-12-01 04:00 PM,,
ifly,CO-4461-EWR-CVG,2011-12-01 1:55 PM,2011-12-01 3:37 PM,,2011-12-01 4:00 PM,2011-12-01 5:36 PM,
usatoday,CO-4461-EWR-CVG,2011-12-01 01:55 PM,,,2011-12-01 04:00 PM,,
flightarrival,CO-4461-EWR-CVG,2011-12-01 01:55 PM,,,2011-12-01 04:00 PM,,
ua,UA-2706-EWR-CLT,Thu; Dec 1 6:29 PM,Thu; Dec 1 6:29 PM,A38,Thu; Dec 1 8:33 PM,Thu; Dec 1 8:15 PM,B6
airtravelcenter,UA-2706-EWR-CLT,,12/1/11 6:47 PM (-05:00),,,12/1/11 8:05 PM (-05:00),
myrateplan,UA-2706-EWR-CLT,,12/1/11 6:47 PM (-05:00),,,12/1/11 8:05 PM (-05:00),
helloflight,UA-2706-EWR-CLT,,12/1/11 6:47 PM (-05:00),,,12/1/11 8:05 PM (-05:00),
flytecomm,UA-2706-EWR-CLT,,12/1/11 6:47 PM (-05:00),,,12/1/11 8:05 PM (-05:00),
flightaware,UA-2706-EWR-CLT,2011-12-01 06:29PM EST,2011-12-01 06:48PM EST,,2011-12-01 07:59PM EST,2011-12-01 08:02PM EST,
wunderground,UA-2706-EWR-CLT,2011-12-01 06:29PM EST,2011-12-01 06:48PM EST,,2011-12-01 07:59PM EST,2011-12-01 08:02PM EST,
flights,UA-2706-EWR-CLT,06:29 PM  Thu 01-Dec-2011,06:23 PM  Thu 01-Dec-2011,38,08:33 PM  Thu 01-Dec-2011,08:15 PM  Thu 01-Dec-2011,B6
businesstravellogue,UA-2706-EWR-CLT,06:29 PM  Thu 01-Dec-2011,06:23 PM  Thu 01-Dec-2011,38,08:33 PM  Thu 01-Dec-2011,08:15 PM  Thu 01-Dec-2011,B6
flylouisville,UA-2706-EWR-CLT,06:29 PM  Thu 01-Dec-2011,06:23 PM  Thu 01-Dec-2011,38,08:33 PM  Thu 01-Dec-2011,08:15 PM  Thu 01-Dec-2011,B6
flightstats,UA-2706-EWR-CLT,2011-12-01 6:29 PM,2011-12-01 6:23 PM,,2011-12-01 8:33 PM,2011-12-01 8:15 PM,
quicktrip,UA-2706-EWR-CLT,2011-12-01 6:29 PM,2011-12-01 6:23 PM,,2011-12-01 8:33 PM,2011-12-01 8:15 PM,
world-flight-tracker,UA-2706-EWR-CLT,2011-12-01 6:29 PM,2011-12-01 6:23 PM,,2011-12-01 8:33 PM,2011-12-01 8:15 PM,
flightview,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
panynj,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
gofox,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
foxbusiness,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
allegiantair,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
boston,UA-2706-EWR-CLT,6:29 PM; Dec 01,6:48 PM; Dec 01,,8:33 PM; Dec 01,8:07 PM; Dec 01,
travelocity,UA-2706-EWR-CLT,Dec 01 - 6:29pm,Dec 01 - Contact Airline,Not provided by airline,Dec 01 - 8:33pm,Dec 01 - Contact Airline,Not provided by airline
orbitz,UA-2706-EWR-CLT,6:29pDec 1,6:23pDec 1,-,8:33pDec 1,8:15pDec 1,-
weather,UA-2706-EWR-CLT,2011-12-01 06:29 PM,,,2011-12-01 08:33 PM,,
ifly,UA-2706-EWR-CLT,2011-12-01 6:29 PM,2011-12-01 6:23 PM,,2011-12-01 8:33 PM,2011-12-01 8:15 PM,
mytripandmore,UA-2706-EWR-CLT,6:29pDec 1,6:23pDec 1,-,8:33pDec 1,8:15pDec 1,-
flightwise,UA-2706-EWR-CLT,2011-12-01 06:29PM EST,2011-12-01 06:48PM EST,,2011-12-01 07:59PM EST,2011-12-01 08:02PM EST,
flightarrival,UA-2706-EWR-CLT,2011-12-01 06:29 PM,,,2011-12-01 08:33 PM,,
ua,UA-581-DEN-IAD,Thu; Dec 1 8:36 AM,Thu; Dec 1 8:39 AM,B41,Thu; Dec 1 1:52 PM,Thu; Dec 1 2:14 PM,C23
flightexplorer,UA-581-DEN-IAD,,12/1/2011 9:26AM MST,,,12/1/2011 2:00PM EST,
airtravelcenter,UA-581-DEN-IAD,,12/1/11 9:27 AM (-07:00),,,12/1/11 2:00 PM (-05:00),
myrateplan,UA-581-DEN-IAD,,12/1/11 9:27 AM (-07:00),,,12/1/11 2:00 PM (-05:00),
helloflight,UA-581-DEN-IAD,,12/1/11 9:27 AM (-07:00),,,12/1/11 2:00 PM (-05:00),
flytecomm,UA-581-DEN-IAD,,12/1/11 9:27 AM (-07:00),,,12/1/11 2:00 PM (-05:00),
flightaware,UA-581-DEN-IAD,2011-12-01 08:36AM MST,2011-12-01 09:27AM MST,B41 ,2011-12-01 01:56PM EST,2011-12-01 02:09PM EST,C23 
wunderground,UA-581-DEN-IAD,2011-12-01 08:36AM MST,2011-12-01 09:27AM MST,B41 ,2011-12-01 01:56PM EST,2011-12-01 02:09PM EST,C23 
flights,UA-581-DEN-IAD,08:36 AM  Thu 01-Dec-2011,08:39 AM  Thu 01-Dec-2011,B41,01:52 PM  Thu 01-Dec-2011,02:14 PM  Thu 01-Dec-2011,C23
